Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-12-25,53.472782135009766,53.472782135009766,53.472782135009766,53.472782135009766,0,0.0,0.0
1995-12-26,53.472782135009766,53.472782135009766,53.472782135009766,53.472782135009766,0,0.0,0.0
1995-12-27,53.472782135009766,53.472782135009766,53.472782135009766,53.472782135009766,0,0.0,0.0
1995-12-28,53.472782135009766,53.472782135009766,53.472782135009766,53.472782135009766,0,0.0,0.0
1995-12-29,53.472782135009766,53.472782135009766,53.472782135009766,53.472782135009766,0,0.0,0.0
1996-01-01,53.191345378054244,53.472782135009766,53.120990390618246,53.472782135009766,40703,0.0,0.0
1996-01-02,53.47277798584577,54.021578218724486,52.90991011801372,53.16320037841797,100975,0.0,0.0
1996-01-03,53.16320335710445,53.4727809818776,52.94509057546797,52.9873046875,29744,0.0,0.0
1996-01-04,52.98729063977095,53.05061459223271,52.27666513308177,52.58624267578125,104889,0.0,0.0
1996-01-05,52.586240814911115,52.74103518318538,52.20630831838967,52.39627456665039,62620,0.0,0.0
1996-01-08,52.3962943159736,52.487759166100034,51.92489122371654,52.41740417480469,131503,0.0,0.0
1996-01-09,52.417395817297475,52.347035234816374,51.22129392713511,51.544944763183594,63142,0.0,0.0
1996-01-10,51.54493663442584,52.48774251993485,51.78415361329128,52.37516784667969,67577,0.0,0.0
1996-01-11,52.3751773277603,53.226524148665604,52.13596030559122,52.81843948364258,80623,0.0,0.0
1996-01-12,52.81843704838298,53.817536007716555,52.76918632248943,53.458702087402344,54532,0.0,0.0
1996-01-15,53.458690224737246,56.849992157344985,52.790284463130135,53.149112701416016,28961,0.0,0.0
1996-01-16,53.1491103288449,53.3320455494059,52.649560982329646,53.02949905395508,106715,0.0,0.0
1996-01-17,53.02951165142218,53.156159572850484,52.76918479284443,52.7902946472168,61837,0.0,0.0
1996-01-18,52.79029034254992,53.05061717989991,51.78415487609665,52.92396926879883,73318,0.0,0.0
1996-01-19,52.92396765686805,53.19133110362516,52.487742201253454,53.015438079833984,81145,0.0,0.0
1996-01-22,53.015442446568144,53.613493342964,52.90990438263963,53.47980880737305,450084,0.0,0.0
1996-01-23,53.47981761780365,53.47278099872881,51.995242257912494,52.07263946533203,36789,0.0,0.0
